user_id,country,age_band,employment_status,employment_type,industry,years_in_current_role,monthly_net_income_eur,income_stability_1_5,household_size,dependents,housing_status,monthly_housing_cost_eur,liquid_savings_eur,emergency_fund_months,monthly_savings_eur,consumer_debt_eur,debt_types,mortgage_remaining_eur,investable_assets_eur,investment_experience,risk_tolerance_1_5,financial_confidence_1_5,primary_financial_goal,goal_horizon_months,plans_home_purchase,home_purchase_horizon_months,interested_in_investing,interested_in_mortgage,interested_in_savings_products,interested_in_insurance,interested_in_pension,recent_life_event,biggest_financial_concern,what_would_you_like_help_with,open_to_financial_advisor_call,marketing_contact_consent,preferred_contact_channel,survey_completed_at
FZ-0001,Italy,25-34,Student + part-time,Part-time,Media,2.0,900,2,2,0,Renting,550,3500,1,50,6000,Credit card,0,0,Beginner,3,1,Build emergency fund,18,No,,Yes,No,Yes,No,No,Had a child,Not knowing where to start,I need help setting a budget now that I have my first proper salary.,Maybe,Yes,Email,2026-08-22T15:14:00+02:00
FZ-0002,Spain,35-44,Employed,Fixed-term,Technology,3.4,4750,4,4,2,Own with mortgage,750,175000,12,1200,10000,Credit card,100000,0,Beginner,2,3,Make savings work harder,60,No,,Yes,No,Yes,No,Maybe,New job,Making a bad investment decision,Most of my money is in cash. I want help organising it between emergency savings and investments.,Yes,Yes,WhatsApp,2026-09-16T16:52:00+02:00
FZ-0003,Italy,55-64,Employed,Full-time permanent,Public Sector,2.1,5000,4,4,1,Own outright,0,95000,12,700,0,None,0,5000,Beginner,3,2,Make savings work harder,120,No,,Yes,No,Yes,No,Yes,Planning relocation,Not having a clear plan,I have saved quite a lot but I am not confident about what to do with it and I keep postponing decisions.,,Yes,Phone,2026-09-09T14:37:00+02:00
FZ-0004,Italy,35-44,Employed,Full-time permanent,Public Sector,1.3,3400,3,1,0,Renting,650,1000,2,-250,18000,Personal loan,0,500,None,1,1,Reduce debt,24,No,,No,No,Maybe,No,No,Started freelancing,Unexpected expenses while repaying debt,I want a realistic plan to pay down debt and rebuild an emergency buffer.,Yes,Yes,Email,2026-07-19T14:44:00+02:00
FZ-0005,Italy,45-54,Employed,Full-time permanent,Manufacturing,10.4,5000,4,4,3,Own outright,150,35000,8,1100,3000,Credit card,0,120000,Experienced,3,4,Prepare for retirement,180,No,,Yes,No,Maybe,No,Yes,New job,Market risk close to retirement,Retirement is getting closer and I want a clearer pension and investment strategy.,,Yes,WhatsApp,2026-08-06T20:39:00+02:00
FZ-0006,Spain,55-64,Employed,Fixed-term,Media,15.1,5800,4,5,3,Own with mortgage,1100,120000,8,1100,0,None,70000,205000,Intermediate,2,3,Prepare for retirement,180,No,,Yes,No,Yes,No,Yes,Unexpected expense,Market risk close to retirement,I want to know whether I am saving enough for retirement and whether my current investments make sense.,Yes,Yes,WhatsApp,2026-08-08T13:46:00+02:00
FZ-0007,Italy,25-34,Employed,Full-time permanent,Public Sector,4.3,3200,5,1,0,Renting,900,54000,6,350,0,None,0,11000,Beginner,3,2,Buy a home,36,Yes,36,No,Yes,Yes,Maybe,No,Started freelancing,House prices and mortgage affordability,I want a clear plan for buying a home in the next couple of years and comparing mortgage options.,Yes,No,None,2026-08-12T19:29:00+02:00
FZ-0008,France,35-44,Employed,Fixed-term,Technology,7.9,5100,4,4,1,Renting,700,37000,3,350,0,None,0,20000,Beginner,2,2,Protect family finances,24,No,,Yes,No,Yes,Yes,Yes,Had a child,Balancing current costs with long-term savings,My finances were simple before having children; now I want a clearer household plan.,,Yes,WhatsApp,2026-08-02T09:58:00+02:00
FZ-0009,Italy,18-24,Employed,Full-time permanent,Professional Services,5.4,2300,4,5,2,Renting,1000,27000,4,550,0,None,0,7000,None,2,3,Start investing,60,No,,Yes,No,Yes,No,No,New job,Choosing the wrong investment products,I have cash sitting in my account and want to start investing without taking risks I do not understand.,Yes,Yes,WhatsApp,2026-08-15T09:41:00+02:00
FZ-0010,Italy,25-34,Employed,Full-time permanent,Professional Services,6.2,3900,5,2,1,Renting,1000,47000,6,950,0,None,0,11000,None,3,2,Buy a home,18,Yes,18,No,Yes,Yes,Maybe,No,Moved city,Interest rates increasing,I want a clear plan for buying a home in the next couple of years and comparing mortgage options.,Maybe,Yes,WhatsApp,2026-07-03T14:51:00+02:00
FZ-0011,Italy,25-34,Self-employed,Self-employed,Manufacturing,2.6,5100,3,1,0,Renting,1000,38000,12,1000,5000,Personal loan,0,5000,Intermediate,2,2,Stabilise finances,36,No,24,Yes,No,Yes,No,Yes,Planning relocation,Irregular income,"Since I freelance, I need a better system for taxes, savings and long-term planning.",Maybe,No,None,2026-09-05T10:12:00+02:00
FZ-0012,Italy,25-34,Employed,Fixed-term,Manufacturing,6.6,2100,4,3,2,Renting,800,51000,4,500,0,None,0,4000,Beginner,3,4,Buy a home,36,Yes,36,No,Yes,Yes,Maybe,No,None,House prices and mortgage affordability,"I am renting now and would like to buy my first home, but I do not know how much deposit I should keep aside.",Maybe,No,None,2026-08-25T21:47:00+02:00
FZ-0013,France,25-34,Employed,Fixed-term,Media,5.2,,5,3,1,Renting,600,26000,3,500,0,None,0,1500,None,2,2,Start investing,60,No,,Yes,No,Yes,No,No,Got married,Keeping too much cash,I would like to build a long-term investment plan and stop leaving everything in cash.,Maybe,Yes,Email,2026-07-14T13:55:00+02:00
FZ-0014,Italy,55-64,Employed,Full-time permanent,Hospitality,8.2,5000,4,1,0,Own outright,250,25000,6,1600,0,None,0,145000,Experienced,4,4,Optimise investments,180,No,,Yes,No,Maybe,No,Yes,Relationship change,Portfolio concentration,I am comfortable investing but want to optimise how my cash and investments are allocated.,No,Yes,Email,2026-08-11T09:43:00+02:00
FZ-0015,Italy,55-64,Employed,Fixed-term,Retail,8.5,6200,4,2,1,Own with mortgage,1000,140000,12,500,0,None,80000,45000,Intermediate,3,3,Prepare for retirement,60,No,,Yes,No,Yes,No,Yes,New job,Market risk close to retirement,I want to know whether I am saving enough for retirement and whether my current investments make sense.,Yes,Yes,Phone,2026-09-26T19:01:00+02:00
FZ-0016,Italy,25-34,Employed,Full-time permanent,Healthcare,4.3,4000,4,2,1,Renting,600,35000,3,500,0,None,0,0,None,3,4,Buy a home,18,Yes,18,No,Yes,Yes,Maybe,No,Unexpected expense,Using too much of my savings for a deposit,I want to understand how much mortgage I could realistically afford without draining all my savings.,Yes,Yes,Email,2026-09-07T19:02:00+02:00
FZ-0017,Spain,25-34,Self-employed,Self-employed,Manufacturing,9.5,,3,1,0,Renting,1050,59000,4,400,0,None,0,25000,Intermediate,3,4,Stabilise finances,36,No,36,Yes,No,Yes,No,Yes,Had a child,Not having enough buffer in weak months,"Since I freelance, I need a better system for taxes, savings and long-term planning.",Yes,Yes,Email,2026-07-02T08:12:00+02:00
FZ-0018,Italy,55-64,Employed,Fixed-term,Retail,7.7,2900,5,2,0,Own with mortgage,950,100000,8,500,0,None,15000,80000,Experienced,3,3,Prepare for retirement,60,No,,Yes,No,Maybe,No,Yes,Started freelancing,Not having enough for retirement,I would like to understand my retirement gap and what monthly contribution would close it. I prefer not to be called about products.,Yes,Yes,WhatsApp,2026-09-17T16:19:00+02:00
